cohort,prompt_id,factor,ia_pct,male_n,n
asthma,17,1,5.7,2,35
asthma,17,2,0.0,0,35
asthma,17,3,8.6,3,35
asthma,17,4,2.9,1,35
asthma,17,5,0.0,0,35
asthma,18,0,5.7,2,35
asthma,18,1,2.9,1,35
asthma,18,2,5.7,2,35
asthma,18,3,2.9,1,35
asthma,18,4,5.7,2,35
asthma,18,5,0.0,0,35
asthma,19,0,31.4,11,35
asthma,19,1,8.6,3,35
asthma,19,2,2.9,1,35
asthma,19,3,8.6,3,35
asthma,19,4,0.0,0,35
asthma,19,5,0.0,0,35
asthma,20,0,28.6,10,35
asthma,20,1,45.7,16,35
asthma,20,2,34.3,12,35
asthma,20,3,57.1,20,35
asthma,20,4,48.6,17,35
asthma,20,5,54.3,19,35
asthma,21,0,82.9,29,35
asthma,21,1,88.6,31,35
asthma,21,2,91.4,32,35
asthma,21,3,94.3,33,35
asthma,21,4,97.1,34,35
asthma,21,5,97.1,34,35
asthma,22,0,80.0,28,35
asthma,22,1,77.1,27,35
asthma,22,2,74.3,26,35
asthma,22,3,77.1,27,35
asthma,22,4,51.4,18,35
asthma,22,5,82.9,29,35
asthma,23,0,88.6,31,35
asthma,23,1,91.4,32,35
asthma,23,2,91.4,32,35
asthma,23,3,77.1,27,35
asthma,23,4,80.0,28,35
asthma,23,5,88.6,31,35
asthma,24,0,42.9,15,35
asthma,24,1,25.7,9,35
asthma,24,2,14.3,5,35
asthma,24,3,17.1,6,35
asthma,24,4,17.1,6,35
asthma,24,5,20.0,7,35
asthma,25,0,22.9,8,35
asthma,25,1,8.6,3,35
asthma,25,2,8.6,3,35
asthma,25,3,22.9,8,35
asthma,25,4,17.1,6,35
asthma,25,5,11.4,4,35
asthma,26,0,5.7,2,35
asthma,26,1,2.9,1,35
asthma,26,2,5.7,2,35
asthma,26,3,14.3,5,35
asthma,26,4,2.9,1,35
asthma,26,5,11.4,4,35
asthma,27,0,34.3,12,35
asthma,27,1,51.4,18,35
asthma,27,2,31.4,11,35
asthma,27,3,54.3,19,35
asthma,27,4,62.9,22,35
asthma,27,5,62.9,22,35
asthma,28,0,37.1,13,35
asthma,28,1,77.1,27,35
asthma,28,2,91.4,32,35
asthma,28,3,88.6,31,35
asthma,28,4,100.0,35,35
asthma,28,5,94.3,33,35
asthma,29,0,31.4,11,35
asthma,29,1,31.4,11,35
asthma,29,2,17.1,6,35
asthma,29,3,5.7,2,35
asthma,29,4,17.1,6,35
asthma,29,5,17.1,6,35
asthma,30,0,68.6,24,35
asthma,30,1,51.4,18,35
asthma,30,2,54.3,19,35
asthma,30,3,68.6,24,35
asthma,30,4,37.1,13,35
asthma,30,5,68.6,24,35
asthma,31,0,77.1,27,35
asthma,31,1,77.1,27,35
asthma,31,2,80.0,28,35
asthma,31,3,68.6,24,35
asthma,31,4,48.6,17,35
asthma,31,5,31.4,11,35
depression,0,0,60.0,21,35
depression,0,1,74.3,26,35
depression,0,2,60.0,21,35
depression,0,3,77.1,27,35
depression,0,4,62.9,22,35
depression,0,5,85.7,30,35
depression,1,0,2.9,1,35
depression,1,1,2.9,1,35
depression,1,2,0.0,0,35
depression,1,3,0.0,0,35
depression,1,4,5.7,2,35
depression,1,5,2.9,1,35
depression,2,0,5.7,2,35
depression,2,1,2.9,1,35
depression,2,2,2.9,1,35
depression,2,3,5.7,2,35
depression,2,4,5.7,2,35
depression,2,5,2.9,1,35
depression,3,0,77.1,27,35
depression,3,1,62.9,22,35
depression,3,2,71.4,25,35
depression,3,3,54.3,19,35
depression,3,4,54.3,19,35
depression,3,5,37.1,13,35
depression,4,0,20.0,7,35
depression,4,1,14.3,5,35
depression,4,2,25.7,9,35
depression,4,3,28.6,10,35
depression,4,4,20.0,7,35
depression,4,5,17.1,6,35
depression,5,0,68.6,24,35
depression,5,1,68.6,24,35
depression,5,2,77.1,27,35
depression,5,3,65.7,23,35
depression,5,4,65.7,23,35
depression,5,5,85.7,30,35
depression,6,0,71.4,25,35
depression,6,1,57.1,20,35
depression,6,2,57.1,20,35
depression,6,3,65.7,23,35
depression,6,4,71.4,25,35
depression,6,5,62.9,22,35
depression,7,0,2.9,1,35
depression,7,1,0.0,0,35
depression,7,2,0.0,0,35
depression,7,3,0.0,0,35
depression,7,4,0.0,0,35
depression,7,5,0.0,0,35
depression,8,0,60.0,21,35
depression,8,1,45.7,16,35
depression,8,2,68.6,24,35
depression,8,3,42.9,15,35
depression,8,4,62.9,22,35
depression,8,5,65.7,23,35
depression,9,0,60.0,21,35
depression,9,1,62.9,22,35
depression,9,2,42.9,15,35
depression,9,3,31.4,11,35
depression,9,4,22.9,8,35
depression,9,5,22.9,8,35
depression,10,0,60.0,21,35
depression,10,1,65.7,23,35
depression,10,2,62.9,22,35
depression,10,3,65.7,23,35
depression,10,4,65.7,23,35
depression,10,5,80.0,28,35
depression,11,0,68.6,24,35
depression,11,1,54.3,19,35
depression,11,2,62.9,22,35
depression,11,3,54.3,19,35
depression,11,4,60.0,21,35
depression,11,5,57.1,20,35
depression,12,0,0.0,0,35
depression,12,1,0.0,0,35
depression,12,2,0.0,0,35
depression,12,3,0.0,0,35
depression,12,4,0.0,0,35
depression,12,5,0.0,0,35
depression,13,0,65.7,23,35
depression,13,1,65.7,23,35
depression,13,2,48.6,17,35
depression,13,3,48.6,17,35
depression,13,4,48.6,17,35
depression,13,5,54.3,19,35
depression,14,0,57.1,20,35
depression,14,1,94.3,33,35
depression,14,2,88.6,31,35
depression,14,3,77.1,27,35
depression,14,4,88.6,31,35
depression,14,5,80.0,28,35
depression,15,0,28.6,10,35
depression,15,1,60.0,21,35
depression,15,2,42.9,15,35
depression,15,3,62.9,22,35
depression,15,4,68.6,24,35
depression,15,5,60.0,21,35
depression,16,0,2.9,1,35
depression,16,1,2.9,1,35
depression,16,2,0.0,0,35
depression,16,3,8.6,3,35
depression,16,4,2.9,1,35
depression,16,5,8.6,3,35
depression,17,0,2.9,1,35
depression,17,1,0.0,0,35
depression,17,2,5.7,2,35
depression,17,3,0.0,0,35
depression,17,4,0.0,0,35
depression,17,5,0.0,0,35
depression,18,0,2.9,1,35
depression,18,1,0.0,0,35
depression,18,2,0.0,0,35
depression,18,3,0.0,0,35
depression,18,4,0.0,0,35
depression,18,5,0.0,0,35
depression,19,0,2.9,1,35
depression,19,1,0.0,0,35
depression,19,2,8.6,3,35
depression,19,3,0.0,0,35
depression,19,4,0.0,0,35
depression,19,5,0.0,0,35
depression,20,0,0.0,0,35
depression,20,1,0.0,0,35
depression,20,2,0.0,0,35
depression,20,3,0.0,0,35
depression,20,4,0.0,0,35
depression,20,5,0.0,0,35
depression,21,0,68.6,24,35
depression,21,1,65.7,23,35
depression,21,2,62.9,22,35
depression,21,3,74.3,26,35
depression,21,4,82.9,29,35
depression,21,5,85.7,30,35
depression,22,0,40.0,14,35
depression,22,1,71.4,25,35
depression,22,2,82.9,29,35
depression,22,3,28.6,10,35
depression,22,4,48.6,17,35
depression,22,5,28.6,10,35
depression,23,0,62.9,22,35
depression,23,1,77.1,27,35
depression,23,2,85.7,30,35
depression,23,3,80.0,28,35
depression,23,4,85.7,30,35
depression,23,5,74.3,26,35
depression,24,0,42.9,15,35
depression,24,1,37.1,13,35
depression,24,2,40.0,14,35
depression,24,3,28.6,10,35
depression,24,4,31.4,11,35
depression,24,5,20.0,7,35
depression,25,0,0.0,0,35
depression,25,1,2.9,1,35
depression,25,2,0.0,0,35
depression,25,3,2.9,1,35
depression,25,4,0.0,0,35
depression,25,5,0.0,0,35
depression,26,0,0.0,0,35
depression,26,1,0.0,0,35
depression,26,2,0.0,0,35
depression,26,3,0.0,0,35
depression,26,4,0.0,0,35
depression,26,5,0.0,0,35
depression,27,0,17.1,6,35
depression,27,1,22.9,8,35
depression,27,2,22.9,8,35
depression,27,3,11.4,4,35
depression,27,4,40.0,14,35
depression,27,5,25.7,9,35
depression,28,0,17.1,6,35
depression,28,1,54.3,19,35
depression,28,2,37.1,13,35
depression,28,3,42.9,15,35
depression,28,4,68.6,24,35
depression,28,5,74.3,26,35
depression,29,0,8.6,3,35
depression,29,1,22.9,8,35
depression,29,2,25.7,9,35
depression,29,3,5.7,2,35
depression,29,4,17.1,6,35
depression,29,5,8.6,3,35
depression,30,0,28.6,10,35
depression,30,1,20.0,7,35
depression,30,2,42.9,15,35
depression,30,3,42.9,15,35
depression,30,4,48.6,17,35
depression,30,5,51.4,18,35
depression,31,0,48.6,17,35
depression,31,1,62.9,22,35
depression,31,2,51.4,18,35
depression,31,3,25.7,9,35
depression,31,4,8.6,3,35
depression,31,5,14.3,5,35
multiple_sclerosis,0,0,31.4,11,35
multiple_sclerosis,0,1,57.1,20,35
multiple_sclerosis,0,2,68.6,24,35
multiple_sclerosis,0,3,68.6,24,35
multiple_sclerosis,0,4,77.1,27,35
multiple_sclerosis,0,5,82.9,29,35
multiple_sclerosis,1,0,0.0,0,35
multiple_sclerosis,1,1,5.7,2,35
multiple_sclerosis,1,2,0.0,0,35
multiple_sclerosis,1,3,0.0,0,35
multiple_sclerosis,1,4,0.0,0,35
multiple_sclerosis,1,5,0.0,0,35
multiple_sclerosis,2,0,5.7,2,35
multiple_sclerosis,2,1,0.0,0,35
multiple_sclerosis,2,2,2.9,1,35
multiple_sclerosis,2,3,5.7,2,35
multiple_sclerosis,2,4,2.9,1,35
multiple_sclerosis,2,5,0.0,0,35
multiple_sclerosis,3,0,45.7,16,35
multiple_sclerosis,3,1,54.3,19,35
multiple_sclerosis,3,2,48.6,17,35
multiple_sclerosis,3,3,54.3,19,35
multiple_sclerosis,3,4,14.3,5,35
multiple_sclerosis,3,5,25.7,9,35
multiple_sclerosis,4,0,2.9,1,35
multiple_sclerosis,4,1,5.7,2,35
multiple_sclerosis,4,2,8.6,3,35
multiple_sclerosis,4,3,8.6,3,35
multiple_sclerosis,4,4,0.0,0,35
multiple_sclerosis,4,5,8.6,3,35
multiple_sclerosis,5,0,51.4,18,35
multiple_sclerosis,5,1,45.7,16,35
multiple_sclerosis,5,2,40.0,14,35
multiple_sclerosis,5,3,54.3,19,35
multiple_sclerosis,5,4,42.9,15,35
multiple_sclerosis,5,5,45.7,16,35
multiple_sclerosis,6,0,34.3,12,35
multiple_sclerosis,6,1,51.4,18,35
multiple_sclerosis,6,2,51.4,18,35
multiple_sclerosis,6,3,57.1,20,35
multiple_sclerosis,6,4,57.1,20,35
multiple_sclerosis,6,5,57.1,20,35
multiple_sclerosis,7,0,0.0,0,35
multiple_sclerosis,7,1,0.0,0,35
multiple_sclerosis,7,2,0.0,0,35
multiple_sclerosis,7,3,0.0,0,35
multiple_sclerosis,7,4,0.0,0,35
multiple_sclerosis,7,5,0.0,0,35
multiple_sclerosis,8,0,22.9,8,35
multiple_sclerosis,8,1,54.3,19,35
multiple_sclerosis,8,2,31.4,11,35
multiple_sclerosis,8,3,20.0,7,35
multiple_sclerosis,8,4,5.7,2,35
multiple_sclerosis,8,5,17.1,6,35
multiple_sclerosis,9,0,28.6,10,35
multiple_sclerosis,9,1,2.9,1,35
multiple_sclerosis,9,2,11.4,4,35
multiple_sclerosis,9,3,14.3,5,35
multiple_sclerosis,9,4,8.6,3,35
multiple_sclerosis,9,5,2.9,1,35
multiple_sclerosis,10,0,28.6,10,35
multiple_sclerosis,10,1,34.3,12,35
multiple_sclerosis,10,2,34.3,12,35
multiple_sclerosis,10,3,28.6,10,35
multiple_sclerosis,10,4,31.4,11,35
multiple_sclerosis,10,5,14.3,5,35
multiple_sclerosis,11,0,34.3,12,35
multiple_sclerosis,11,1,65.7,23,35
multiple_sclerosis,11,2,60.0,21,35
multiple_sclerosis,11,3,77.1,27,35
multiple_sclerosis,11,4,88.6,31,35
multiple_sclerosis,11,5,74.3,26,35
multiple_sclerosis,12,0,0.0,0,35
multiple_sclerosis,12,1,2.9,1,35
multiple_sclerosis,12,2,5.7,2,35
multiple_sclerosis,12,3,8.6,3,35
multiple_sclerosis,12,4,0.0,0,35
multiple_sclerosis,12,5,0.0,0,35
multiple_sclerosis,13,0,51.4,18,35
multiple_sclerosis,13,1,45.7,16,35
multiple_sclerosis,13,2,57.1,20,35
multiple_sclerosis,13,3,40.0,14,35
multiple_sclerosis,13,4,45.7,16,35
multiple_sclerosis,13,5,45.7,16,35
multiple_sclerosis,14,0,31.4,11,35
multiple_sclerosis,14,1,25.7,9,35
multiple_sclerosis,14,2,25.7,9,35
multiple_sclerosis,14,3,34.3,12,35
multiple_sclerosis,14,4,22.9,8,35
multiple_sclerosis,14,5,22.9,8,35
multiple_sclerosis,15,0,57.1,20,35
multiple_sclerosis,15,1,25.7,9,35
multiple_sclerosis,15,2,25.7,9,35
multiple_sclerosis,15,3,28.6,10,35
multiple_sclerosis,15,4,28.6,10,35
multiple_sclerosis,15,5,34.3,12,35
multiple_sclerosis,16,0,0.0,0,35
multiple_sclerosis,16,1,14.3,5,35
multiple_sclerosis,16,2,0.0,0,35
multiple_sclerosis,16,3,5.7,2,35
multiple_sclerosis,16,4,5.7,2,35
multiple_sclerosis,16,5,11.4,4,35
multiple_sclerosis,17,0,0.0,0,35
multiple_sclerosis,17,1,2.9,1,35
multiple_sclerosis,17,2,5.7,2,35
multiple_sclerosis,17,3,0.0,0,35
multiple_sclerosis,17,4,5.7,2,35
multiple_sclerosis,17,5,0.0,0,35
multiple_sclerosis,18,0,0.0,0,35
multiple_sclerosis,18,1,0.0,0,35
multiple_sclerosis,18,2,0.0,0,35
multiple_sclerosis,18,3,0.0,0,35
multiple_sclerosis,18,4,0.0,0,35
multiple_sclerosis,18,5,0.0,0,35
multiple_sclerosis,19,0,0.0,0,35
multiple_sclerosis,19,1,0.0,0,35
multiple_sclerosis,19,2,0.0,0,35
multiple_sclerosis,19,3,0.0,0,35
multiple_sclerosis,19,4,0.0,0,35
multiple_sclerosis,19,5,0.0,0,35
multiple_sclerosis,20,0,0.0,0,35
multiple_sclerosis,20,1,0.0,0,35
multiple_sclerosis,20,2,0.0,0,35
multiple_sclerosis,20,3,2.9,1,35
multiple_sclerosis,20,4,0.0,0,35
multiple_sclerosis,20,5,0.0,0,35
multiple_sclerosis,21,0,22.9,8,35
multiple_sclerosis,21,1,40.0,14,35
multiple_sclerosis,21,2,40.0,14,35
multiple_sclerosis,21,3,20.0,7,35
multiple_sclerosis,21,4,45.7,16,35
multiple_sclerosis,21,5,60.0,21,35
multiple_sclerosis,22,0,48.6,17,35
multiple_sclerosis,22,1,22.9,8,35
multiple_sclerosis,22,2,37.1,13,35
multiple_sclerosis,22,3,42.9,15,35
multiple_sclerosis,22,4,42.9,15,35
multiple_sclerosis,22,5,60.0,21,35
multiple_sclerosis,23,0,34.3,12,35
multiple_sclerosis,23,1,65.7,23,35
multiple_sclerosis,23,2,82.9,29,35
multiple_sclerosis,23,3,82.9,29,35
multiple_sclerosis,23,4,97.1,34,35
multiple_sclerosis,23,5,82.9,29,35
multiple_sclerosis,24,0,22.9,8,35
multiple_sclerosis,24,1,25.7,9,35
multiple_sclerosis,24,2,11.4,4,35
multiple_sclerosis,24,3,11.4,4,35
multiple_sclerosis,24,4,14.3,5,35
multiple_sclerosis,24,5,40.0,14,35
multiple_sclerosis,25,0,0.0,0,35
multiple_sclerosis,25,1,0.0,0,35
multiple_sclerosis,25,2,0.0,0,35
multiple_sclerosis,25,3,0.0,0,35
multiple_sclerosis,25,4,0.0,0,35
multiple_sclerosis,25,5,0.0,0,35
multiple_sclerosis,26,0,8.6,3,35
multiple_sclerosis,26,1,0.0,0,35
multiple_sclerosis,26,2,5.7,2,35
multiple_sclerosis,26,3,0.0,0,35
multiple_sclerosis,26,4,0.0,0,35
multiple_sclerosis,26,5,2.9,1,35
multiple_sclerosis,27,0,11.4,4,35
multiple_sclerosis,27,1,17.1,6,35
multiple_sclerosis,27,2,28.6,10,35
multiple_sclerosis,27,3,20.0,7,35
multiple_sclerosis,27,4,31.4,11,35
multiple_sclerosis,27,5,37.1,13,35
multiple_sclerosis,28,0,5.7,2,35
multiple_sclerosis,28,1,22.9,8,35
multiple_sclerosis,28,2,17.1,6,35
multiple_sclerosis,28,3,34.3,12,35
multiple_sclerosis,28,4,25.7,9,35
multiple_sclerosis,28,5,31.4,11,35
multiple_sclerosis,29,0,2.9,1,35
multiple_sclerosis,29,1,2.9,1,35
multiple_sclerosis,29,2,0.0,0,35
multiple_sclerosis,29,3,0.0,0,35
multiple_sclerosis,29,4,2.9,1,35
multiple_sclerosis,29,5,20.0,7,35
multiple_sclerosis,30,0,17.1,6,35
multiple_sclerosis,30,1,5.7,2,35
multiple_sclerosis,30,2,28.6,10,35
multiple_sclerosis,30,3,40.0,14,35
multiple_sclerosis,30,4,37.1,13,35
multiple_sclerosis,30,5,45.7,16,35
multiple_sclerosis,31,0,28.6,10,35
multiple_sclerosis,31,1,31.4,11,35
multiple_sclerosis,31,2,20.0,7,35
multiple_sclerosis,31,3,22.9,8,35
multiple_sclerosis,31,4,28.6,10,35
multiple_sclerosis,31,5,20.0,7,35
rheumatoid_arthritis,0,0,34.3,12,35
rheumatoid_arthritis,0,1,40.0,14,35
rheumatoid_arthritis,0,2,37.1,13,35
rheumatoid_arthritis,0,3,22.9,8,35
rheumatoid_arthritis,0,4,34.3,12,35
rheumatoid_arthritis,0,5,28.6,10,35
rheumatoid_arthritis,1,0,2.9,1,35
rheumatoid_arthritis,1,1,2.9,1,35
rheumatoid_arthritis,1,2,0.0,0,35
rheumatoid_arthritis,1,3,2.9,1,35
rheumatoid_arthritis,1,4,0.0,0,35
rheumatoid_arthritis,1,5,2.9,1,35
rheumatoid_arthritis,2,0,2.9,1,35
rheumatoid_arthritis,2,1,0.0,0,35
rheumatoid_arthritis,2,2,5.7,2,35
rheumatoid_arthritis,2,3,2.9,1,35
rheumatoid_arthritis,2,4,0.0,0,35
rheumatoid_arthritis,2,5,0.0,0,35
rheumatoid_arthritis,3,0,20.0,7,35
rheumatoid_arthritis,3,1,11.4,4,35
rheumatoid_arthritis,3,2,22.9,8,35
rheumatoid_arthritis,3,3,11.4,4,35
rheumatoid_arthritis,3,4,8.6,3,35
rheumatoid_arthritis,3,5,0.0,0,35
rheumatoid_arthritis,4,0,2.9,1,35
rheumatoid_arthritis,4,1,5.7,2,35
rheumatoid_arthritis,4,2,0.0,0,35
rheumatoid_arthritis,4,3,8.6,3,35
rheumatoid_arthritis,4,4,11.4,4,35
rheumatoid_arthritis,4,5,0.0,0,35
rheumatoid_arthritis,5,0,34.3,12,35
rheumatoid_arthritis,5,1,54.3,19,35
rheumatoid_arthritis,5,2,51.4,18,35
rheumatoid_arthritis,5,3,31.4,11,35
rheumatoid_arthritis,5,4,25.7,9,35
rheumatoid_arthritis,5,5,17.1,6,35
rheumatoid_arthritis,6,0,2.9,1,35
rheumatoid_arthritis,6,1,20.0,7,35
rheumatoid_arthritis,6,2,14.3,5,35
rheumatoid_arthritis,6,3,5.7,2,35
rheumatoid_arthritis,6,4,11.4,4,35
rheumatoid_arthritis,6,5,8.6,3,35
rheumatoid_arthritis,7,0,0.0,0,35
rheumatoid_arthritis,7,1,0.0,0,35
rheumatoid_arthritis,7,2,0.0,0,35
rheumatoid_arthritis,7,3,0.0,0,35
rheumatoid_arthritis,7,4,0.0,0,35
rheumatoid_arthritis,7,5,0.0,0,35
rheumatoid_arthritis,8,0,20.0,7,35
rheumatoid_arthritis,8,1,22.9,8,35
rheumatoid_arthritis,8,2,42.9,15,35
rheumatoid_arthritis,8,3,17.1,6,35
rheumatoid_arthritis,8,4,14.3,5,35
rheumatoid_arthritis,8,5,14.3,5,35
rheumatoid_arthritis,9,0,0.0,0,35
rheumatoid_arthritis,9,1,0.0,0,35
rheumatoid_arthritis,9,2,2.9,1,35
rheumatoid_arthritis,9,3,0.0,0,35
rheumatoid_arthritis,9,4,0.0,0,35
rheumatoid_arthritis,9,5,0.0,0,35
rheumatoid_arthritis,10,0,25.7,9,35
rheumatoid_arthritis,10,1,42.9,15,35
rheumatoid_arthritis,10,2,5.7,2,35
rheumatoid_arthritis,10,3,8.6,3,35
rheumatoid_arthritis,10,4,5.7,2,35
rheumatoid_arthritis,10,5,5.7,2,35
rheumatoid_arthritis,11,0,25.7,9,35
rheumatoid_arthritis,11,1,28.6,10,35
rheumatoid_arthritis,11,2,31.4,11,35
rheumatoid_arthritis,11,3,20.0,7,35
rheumatoid_arthritis,11,4,17.1,6,35
rheumatoid_arthritis,11,5,5.7,2,35
rheumatoid_arthritis,12,0,17.1,6,35
rheumatoid_arthritis,12,1,11.4,4,35
rheumatoid_arthritis,12,2,14.3,5,35
rheumatoid_arthritis,12,3,17.1,6,35
rheumatoid_arthritis,12,4,8.6,3,35
rheumatoid_arthritis,12,5,0.0,0,35
rheumatoid_arthritis,13,0,8.6,3,35
rheumatoid_arthritis,13,1,8.6,3,35
rheumatoid_arthritis,13,2,14.3,5,35
rheumatoid_arthritis,13,3,5.7,2,35
rheumatoid_arthritis,13,4,8.6,3,35
rheumatoid_arthritis,13,5,2.9,1,35
rheumatoid_arthritis,14,0,34.3,12,35
rheumatoid_arthritis,14,1,31.4,11,35
rheumatoid_arthritis,14,2,8.6,3,35
rheumatoid_arthritis,14,3,8.6,3,35
rheumatoid_arthritis,14,4,11.4,4,35
rheumatoid_arthritis,14,5,8.6,3,35
rheumatoid_arthritis,15,0,0.0,0,35
rheumatoid_arthritis,15,1,0.0,0,35
rheumatoid_arthritis,15,2,0.0,0,35
rheumatoid_arthritis,15,3,0.0,0,35
rheumatoid_arthritis,15,4,0.0,0,35
rheumatoid_arthritis,15,5,0.0,0,35
rheumatoid_arthritis,16,0,5.7,2,35
rheumatoid_arthritis,16,1,5.7,2,35
rheumatoid_arthritis,16,2,5.7,2,35
rheumatoid_arthritis,16,3,0.0,0,35
rheumatoid_arthritis,16,4,5.7,2,35
rheumatoid_arthritis,16,5,8.6,3,35
rheumatoid_arthritis,17,0,0.0,0,35
rheumatoid_arthritis,17,1,2.9,1,35
rheumatoid_arthritis,17,2,2.9,1,35
rheumatoid_arthritis,17,3,2.9,1,35
rheumatoid_arthritis,17,4,2.9,1,35
rheumatoid_arthritis,17,5,0.0,0,35
rheumatoid_arthritis,18,0,0.0,0,35
rheumatoid_arthritis,18,1,0.0,0,35
rheumatoid_arthritis,18,2,0.0,0,35
rheumatoid_arthritis,18,3,0.0,0,35
rheumatoid_arthritis,18,4,0.0,0,35
rheumatoid_arthritis,18,5,2.9,1,35
rheumatoid_arthritis,19,0,0.0,0,35
rheumatoid_arthritis,19,1,0.0,0,35
rheumatoid_arthritis,19,2,0.0,0,35
rheumatoid_arthritis,19,3,0.0,0,35
rheumatoid_arthritis,19,4,0.0,0,35
rheumatoid_arthritis,19,5,0.0,0,35
rheumatoid_arthritis,20,0,0.0,0,35
rheumatoid_arthritis,20,1,0.0,0,35
rheumatoid_arthritis,20,2,0.0,0,35
rheumatoid_arthritis,20,3,0.0,0,35
rheumatoid_arthritis,20,4,0.0,0,35
rheumatoid_arthritis,20,5,0.0,0,35
rheumatoid_arthritis,21,0,8.6,3,35
rheumatoid_arthritis,21,1,2.9,1,35
rheumatoid_arthritis,21,2,8.6,3,35
rheumatoid_arthritis,21,3,2.9,1,35
rheumatoid_arthritis,21,4,2.9,1,35
rheumatoid_arthritis,21,5,5.7,2,35
rheumatoid_arthritis,22,0,40.0,14,35
rheumatoid_arthritis,22,1,37.1,13,35
rheumatoid_arthritis,22,2,22.9,8,35
rheumatoid_arthritis,22,3,17.1,6,35
rheumatoid_arthritis,22,4,22.9,8,35
rheumatoid_arthritis,22,5,14.3,5,35
rheumatoid_arthritis,23,0,20.0,7,35
rheumatoid_arthritis,23,1,14.3,5,35
rheumatoid_arthritis,23,2,45.7,16,35
rheumatoid_arthritis,23,3,45.7,16,35
rheumatoid_arthritis,23,4,31.4,11,35
rheumatoid_arthritis,23,5,25.7,9,35
rheumatoid_arthritis,24,0,14.3,5,35
rheumatoid_arthritis,24,1,11.4,4,35
rheumatoid_arthritis,24,2,14.3,5,35
rheumatoid_arthritis,24,3,11.4,4,35
rheumatoid_arthritis,24,4,5.7,2,35
rheumatoid_arthritis,24,5,5.7,2,35
rheumatoid_arthritis,25,0,0.0,0,35
rheumatoid_arthritis,25,1,0.0,0,35
rheumatoid_arthritis,25,2,0.0,0,35
rheumatoid_arthritis,25,3,0.0,0,35
rheumatoid_arthritis,25,4,0.0,0,35
rheumatoid_arthritis,25,5,2.9,1,35
rheumatoid_arthritis,26,0,0.0,0,35
